Frequency,M,Station,On,Off,Language,Site,TX_Country,Days,Target,Notes,Pwr,Azi,Org_Country,Source,Date
6195000,AM,BBC,230,300,Dari,Al Seela,Oman,smtwtfs,SAs,0,250,35,UK,BAB,
6195000,AM,BBC,230,300,Dari,Al Seela,Oman,smtwtfs,AFG,/OMA-a,,,UK,EiBi,
6195000,AM,BBC,230,300,Dari,Al Seela,Oman,smtwtfs,"40E,41NW",DARIA,250,35 ,UK,HFCC,
6195000,AM,BBC,230,300,Dari,Al Seela,Oman,smtwtfs,,BBC b15,250,35,,Aoki,
6195000,AM,BBC,300,400,English,Al Seela,Oman,smtwtfs,CAs/ME,0,250,335,UK,BAB,
6195000,AM,BBC,300,400,English,Al Seela,Oman,smtwtfs,ME ,/OMA-a,,,UK,EiBi,
6195000,AM,BBC,300,400,English,Al Seela,Oman,smtwtfs,"30S,39NE,40",ENEUM,250,335,UK,HFCC,
6195000,AM,BBC,300,400,English,Al Seela,Oman,smtwtfs,,BBC b15,250,335,,Aoki,
6195000,AM,NHK R. Japan,400,430,Spanish,"Cypress Creek, SC",USA,smtwtfs,SAm,/USA-c,,,Japan,EiBi,
6195000,AM,R.Japan,400,430,Spanish,"Cypress Creek, SC",USA,smtwtfs,SAm,0,250,167,Japan,BAB,
6195000,AM,R.Japan,400,430,Spanish,"Cypress Creek, SC",USA,smtwtfs,"12,13,14,15,16",,250,167,Japan,HFCC,
6195000,AM,R.Japan,400,430,Spanish,"Cypress Creek, SC",USA,smtwtfs,"12,14,16",,250,167,Japan,HFCC,
6195000,AM,R.Japan,400,430,Spanish,"Cypress Creek, SC",USA,smtwtfs,"14,15,16",,250,167,Japan,HFCC,
6195000,0,R.Japan,400,430,Spanish,"Okeechobee, FL",USA,smtwtfs,SAm,0,0,0,Japan,NHK,
6195000,AM,R.Japan,400,430,Spanish,Cypress Creek SC,USA,smtwtfs,,NHK WHRI2  b15,250,167,,Aoki,
6195000,AM,WHRI,400,430,0,"Cypress Creek, SC",USA,smtwtfs,"12,14,16                      ",,250,167,0,FCC,
6195000,AM,NHK R. Japan,900,930,Portuguese,"Cypress Creek, SC",USA,smtwtfs,SAm,/USA-c,,,Japan,EiBi,
6195000,AM,R.Japan,900,930,Portuguese,"Cypress Creek, SC",USA,smtwtfs,Car/CAm,0,250,152,Japan,BAB,
6195000,AM,R.Japan,900,930,Portuguese,"Cypress Creek, SC",USA,smtwtfs,11,,250,152,Japan,HFCC,
6195000,AM,R.Japan,900,930,Portuguese,"Cypress Creek, SC",USA,smtwtfs,"14,15,16",,250,152,Japan,HFCC,
6195000,AM,R.Japan,900,930,Portuguese,"Cypress Creek, SC",USA,smtwtfs,14-16,,250,152,Japan,HFCC,
6195000,0,R.Japan,900,930,Portuguese,"Okeechobee, FL",USA,smtwtfs,SAm,0,0,0,Japan,NHK,
6195000,AM,R.Japan,900,930,Portuguese,Cypress Creek SC,USA,smtwtfs,,NHK WHRI2  b15,250,152,,Aoki,
6195000,AM,WHRI,900,930,0,"Cypress Creek, SC",USA,smtwtfs,14-16                         ,,250,152,0,FCC,
6195000,AM,NHK R. Japan,930,1000,Spanish,"Cypress Creek, SC",USA,smtwtfs,SAm,/USA-c,,,Japan,EiBi,
6195000,AM,R.Japan,930,1000,Spanish,"Cypress Creek, SC",USA,smtwtfs,SAm,0,250,167,Japan,BAB,
6195000,AM,R.Japan,930,1000,Spanish,"Cypress Creek, SC",USA,smtwtfs,"12,13,14,15,16",,250,167,Japan,HFCC,
6195000,AM,R.Japan,930,1000,Spanish,"Cypress Creek, SC",USA,smtwtfs,"12,14,16",,250,167,Japan,HFCC,
6195000,AM,R.Japan,930,1000,Spanish,"Cypress Creek, SC",USA,smtwtfs,"14,15,16",,250,167,Japan,HFCC,
6195000,0,R.Japan,930,1000,Spanish,"Okeechobee, FL",USA,smtwtfs,SAm,0,0,0,Japan,NHK,
6195000,AM,R.Japan,930,1000,Spanish,Cypress Creek SC,USA,smtwtfs,,NHK WHRI2  b15,250,167,,Aoki,
6195000,AM,WHRI,930,1000,0,"Cypress Creek, SC",USA,smtwtfs,"12,14,16                      ",,250,167,0,FCC,
6195000,AM,BBC,1000,1400,English,Kranji,Singapore,smtwtfs,SEA/PNG,0,125,90,UK,BAB,
6195000,AM,BBC,1000,1400,English,Kranji,Singapore,smtwtfs,SEA,0,125,0,UK,BAB,
6195000,AM,BBC,1000,1400,English,Kranji,Singapore,smtwtfs,SEA,/SNG,,,UK,EiBi,
6195000,AM,BBC,1000,1400,English,Kranji,Singapore,smtwtfs,INS,/SNG,,,UK,EiBi,
6195000,AM,BBC,1000,1400,English,Kranji,Singapore,smtwtfs,49W,ENASE_W,125,0  ,UK,HFCC,
6195000,AM,BBC,1000,1400,English,Kranji,Singapore,smtwtfs,"51W,54",ENASE_S,125,90 ,UK,HFCC,
6195000,AM,BBC,1000,1400,English,Kranji,Singapore,smtwtfs,,BBC b15,125,90,,Aoki,
6195000,AM,BBC,1000,1400,English,Kranji,Singapore,smtwtfs,,BBC b15,125,0,,Aoki,
6195000,AM,BBC,1500,1600,English,Al Seela,Oman,smtwtfs,CAs/ME,0,250,335,UK,BAB,
6195000,AM,BBC,1500,1600,English,Al Seela,Oman,smtwtfs,ME ,/OMA-a,,,UK,EiBi,
6195000,AM,BBC,1500,1600,English,Al Seela,Oman,smtwtfs,"30S,39NE,40",ENEUM,250,335,UK,HFCC,
6195000,AM,BBC,1500,1900,English,Al Seela,Oman,smtwtfs,,BBC b15,250,335,,Aoki,
6195000,AM,BBC,1600,1700,English,Al Seela,Oman,smtwtfs,CAs/ME,0,250,335,UK,BAB,
6195000,AM,BBC,1600,1700,English,Al Seela,Oman,smtwtfs,ME ,/OMA-a,,,UK,EiBi,
6195000,AM,BBC,1600,1700,English,Al Seela,Oman,smtwtfs,"30S,39NE,40",ENEUM,250,335,UK,HFCC,
6195000,AM,BBC,1700,1900,English,Al Seela,Oman,smtwtfs,CAs/ME,0,250,335,UK,BAB,
6195000,AM,BBC,1700,1900,English,Al Seela,Oman,smtwtfs,ME ,/OMA-a,,,UK,EiBi,
6195000,AM,BBC,1700,1900,English,Al Seela,Oman,smtwtfs,"30S,39NE,40",ENEUM,250,335,UK,HFCC,
6195000,AM,V.Russia,1700,2200,Russian,Sanct-Peterburg,Russ - Eur,smtwtfs,"37,38,39",,200,217,Russia,HFCC,
6195000,AM,VOIRI,1920,2020,Russian,Kamalabad,Iran,smtwtfs,EEu,k,,,Iran,EiBi,
6195000,AM,VoIRI,1920,2020,Russian,Kamalabad,Iran,smtwtfs,"28E,29,30",RUSSIAN,500,325,Iran,HFCC,
6195000,AM,VoIRI,1920,2020,Russian,Kamalabad,Iran,smtwtfs,,IRIB b15,500,325,,Aoki,
6195000,AM,VOIRI,2020,2120,Spanish,Kamalabad,Iran,smtwtfs,SEu,k,,,Iran,EiBi,
6195000,AM,VoIRI,2020,2120,Spanish,Kamalabad,Iran,smtwtfs,"27S,28S,37,38",SPANISH,500,289,Iran,HFCC,
6195000,AM,VoIRI,2020,2120,Spanish,Kamalabad,Iran,smtwtfs,,IRIB b15,500,289,,Aoki,
6195000,AM,BBC,2200,2300,English,Kranji,Singapore,smtwtfs,As/SEA,0,250,13,UK,BAB,
6195000,AM,BBC,2200,2300,English,Kranji,Singapore,smtwtfs,SEA/PNG,0,125,90,UK,BAB,
6195000,AM,BBC,2200,2300,English,Kranji,Singapore,smtwtfs,SEA,0,125,0,UK,BAB,
6195000,AM,BBC,2200,2300,English,Kranji,Singapore,smtwtfs,SEA,/SNG,,,UK,EiBi,
6195000,AM,BBC,2200,2300,English,Kranji,Singapore,smtwtfs,SEA,/SNG,,,UK,EiBi,
6195000,AM,BBC,2200,2300,English,Kranji,Singapore,smtwtfs,INS,/SNG,,,UK,EiBi,
6195000,AM,BBC,2200,2300,English,Kranji,Singapore,smtwtfs,"43SE,44SW,49E",ENASE_E,250,13 ,UK,HFCC,
6195000,AM,BBC,2200,2300,English,Kranji,Singapore,smtwtfs,49W,ENASE_W,125,0  ,UK,HFCC,
6195000,AM,BBC,2200,2300,English,Kranji,Singapore,smtwtfs,"51W,54",ENASE_S,125,90 ,UK,HFCC,
6195000,AM,BBC,2200,2300,English,Kranji,Singapore,smtwtfs,,BBC b15,125,13,,Aoki,
6195000,AM,BBC,2200,2400,English,Kranji,Singapore,smtwtfs,,BBC b15,125,0,,Aoki,
6195000,AM,BBC,2200,2400,English,Kranji,Singapore,smtwtfs,,BBC b15,125,90,,Aoki,
6195000,AM,BBC,2300,2400,English,Kranji,Singapore,smtwtfs,SEA/PNG,0,125,90,UK,BAB,
6195000,AM,BBC,2300,2400,English,Kranji,Singapore,smtwtfs,SEA,0,125,0,UK,BAB,
6195000,AM,BBC,2300,2400,English,Kranji,Singapore,smtwtfs,SEA,/SNG,,,UK,EiBi,
6195000,AM,BBC,2300,2400,English,Kranji,Singapore,smtwtfs,INS,/SNG,,,UK,EiBi,
6195000,AM,BBC,2300,2400,English,Kranji,Singapore,smtwtfs,49W,ENASE_W,125,0  ,UK,HFCC,
6195000,AM,BBC,2300,2400,English,Kranji,Singapore,smtwtfs,"51W,54",ENASE_S,125,90 ,UK,HFCC,
6195000,AM,BBC,2300,2400,English,Kranji,Singapore,smtwtfs,,BBC b15,125,0,,Aoki,
6195000,AM,BBC,2300,2400,English,Kranji,Singapore,smtwtfs,,BBC b15,125,90,,Aoki,
6200000,AM,PBS Xizang,0,200,Tibetan,Lhasa,Tibet,smtwtfs,CHN,t,,,China,EiBi,
6200000,AM,PBS Xizang,0,700,Tibetan,Lhasa-Baiding 602,Tibet,smtwtfs,,CTB b15,100,85,,Aoki,
6200000,AM,PBS Xizang,200,400,Tibetan,Lhasa,Tibet,smtwtfs,CHN,t,,,China,EiBi,
6200000,AM,CNR 11,400,500,Tibetan,Lhasa,Tibet,smtwtfs,CHN,t,,,China,EiBi,
6200000,AM,PBS Xizang,500,600,Tibetan,Lhasa,Tibet,smtwtfs,CHN,t,,,China,EiBi,
6200000,AM,PBS Xizang,600,700,Tibetan,Lhasa,Tibet,sm.wtfs,CHN,t,,,China,EiBi,
6200000,AM,PBS Xizang,700,800,English,Lhasa,Tibet,sm.wtfs,CHN,t,,,China,EiBi,
6200000,AM,PBS Xizang,700,800,English,Lhasa-Baiding 602,Tibet,sm.wtfs,,CTB b15,100,85,,Aoki,
6200000,AM,PBS Xizang,800,1000,Tibetan,Lhasa,Tibet,sm.wtfs,CHN,t,,,China,EiBi,
6200000,AM,PBS Xizang,800,1000,Tibetan,Lhasa-Baiding 602,Tibet,sm.wtfs,,CTB b15,100,85,,Aoki,
6200000,AM,PBS Xizang,1000,1300,Tibetan,Lhasa,Tibet,smtwtfs,CHN,t,,,China,EiBi,
6200000,AM,PBS Xizang,1000,1600,Tibetan,Lhasa-Baiding 602,Tibet,smtwtfs,,CTB b15,100,85,,Aoki,
6200000,AM,V.Jinling,1237,1505,Chinese,Nanjing (Jiangsu),China,smtwtfs,TWN,nj,,,China,EiBi,
6200000,AM,V.Jinling,1240,1500,Chinese,Nanjing,China,smtwtfs,,JSBC b15,100,161,,Aoki,
6200000,AM,CNR 11,1300,1400,Tibetan,Lhasa,Tibet,smtwtfs,CHN,t,,,China,EiBi,
6200000,AM,PBS Xizang,1400,1600,Tibetan,Lhasa,Tibet,smtwtfs,CHN,t,,,China,EiBi,
6200000,AM,PBS Xizang,1600,1700,English,Lhasa,Tibet,smtwtfs,CHN,t,,,China,EiBi,
6200000,AM,PBS Xizang,1600,1700,English,Lhasa-Baiding 602,Tibet,smtwtfs,,CTB b15,100,85,,Aoki,
6200000,AM,PBS Xizang,1700,1805,Tibetan,Lhasa,Tibet,smtwtfs,CHN,t,,,China,EiBi,
6200000,AM,PBS Xizang,1700,1805,Tibetan,Lhasa-Baiding 602,Tibet,smtwtfs,,CTB b15,100,85,,Aoki,
6200000,AM,CNR,2050,1805,Tibetan,Lhasa,Tibet,smtwtfs,43SW,,100,85 ,China,HFCC,
6200000,AM,PBS Xizang,2050,2300,Tibetan,Lhasa,Tibet,smtwtfs,CHN,t,,,China,EiBi,
6200000,AM,PBS Xizang,2050,2300,Tibetan,Lhasa-Baiding 602,Tibet,sm.wtfs,,CTB b15,100,85,,Aoki,
6200000,AM,PBS Xizang,2100,2300,Tibetan,Lhasa-Baiding 602,Tibet,..t....,,CTB b15,100,85,,Aoki,
6200000,AM,CNR 11,2300,2400,Tibetan,Lhasa,Tibet,smtwtfs,CHN,t,,,China,EiBi,
6200000,AM,PBS Xizang (CNR11),2300,2400,Tibetan,Lhasa-Baiding 602,Tibet,smtwtfs,,CTB b15,100,85,,Aoki,
6224000,USB,ZLM Taupo Maritime R.,33,53,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,303,323,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,333,353,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,433,453,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,703,723,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,803,823,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,903,923,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,1233,1305,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,1503,1523,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,1533,1553,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,1633,1653,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,1903,1923,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,2003,2023,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,2103,2123,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6224000,USB,ZLM Taupo Maritime R.,2303,2323,English,Taupo,New Zealand,smtwtfs,Oc ,t,,,New Zealand,EiBi,
6227000,USB,VMT Hobart Radio Wx,345,400,English,AUS,Australia,smtwtfs,Tas,,,,Australia,EiBi,
6227000,USB,VMT Hobart Radio Wx,903,918,English,AUS,Australia,smtwtfs,Tas,,,,Australia,EiBi,
6227000,USB,VMT Hobart Radio Wx,2145,2200,English,AUS,Australia,smtwtfs,Tas,,,,Australia,EiBi,
6227000,USB,VMT Hobart Radio Wx,2303,2318,English,AUS,Australia,smtwtfs,Tas,,,,Australia,EiBi,
6230000,USB,VMW Wiluna WA,1000,2300,English,Wiluna WA,Australia,smtwtfs,AUS,w,,,Australia,EiBi,
6230000,AM,Sound of Hope,1100,1400,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6230000,AM,Sound of Hope,1400,1500,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6230000,AM,Sound of Hope,1500,1600,Cantonese, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6230000,AM,Sound of Hope,1600,1700,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6230000,AM,CNR1 Jammer,2030,1700,Mandarin,,China,smtwtfs,CHN,,,,China,EiBi,
6230000,AM,Sound of Hope,2030,2130,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6230000,AM,Sound of Hope,2130,2300,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6230000,AM,Sound of Hope,2300,1100,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6230069,AM,SOH Xi Wang Zhi Sheng,1500,1600,Cantonese,?,Taiwan,smtwtfs,,SOH b15,0.1,ND,,Aoki,
6230069,AM,SOH Xi Wang Zhi Sheng,2045,1700,Chinese,?,Taiwan,smtwtfs,,SOH b15,0.1,ND,,Aoki,
6235000,AM,R.Pakistan,1345,1445,Pashto,Islamabad,Pakistan,smtwtfs,40S,,100,270,Pakistan,HFCC,
6250000,AM,N.Korean Jamming,255,2400,Noise jamming,Kujang,"Korea, DPR",smtwtfs,,NKJamming//6348,250,,,Aoki,
6250000,AM,Echo of Unification,430,630,Korean,KRE,"Korea, DPR",smtwtfs,KOR,,,,N.Korea,EiBi,
6250000,AM,Echo of Unification,430,632,Korean,Pyongyang,"Korea, DPR",smtwtfs,,"EOU b15//684,1080",100,ND,,Aoki,
6250000,AM,Echo of Hope,455,2300,Korean,"Goyang,Gyeonggi-do","Korea, Rep.",smtwtfs,KRE,/KOR-g,,,Clandestine,EiBi,
6250000,AM,Echo of Hope-VOH,555,2400,Korean,JangAn,S.Korea,smtwtfs,,EOH b15,10,10,,Aoki,
6250000,AM,Echo of Unification,1230,1430,Korean,KRE,"Korea, DPR",smtwtfs,KOR,,,,N.Korea,EiBi,
6250000,AM,Echo of Unification,1230,1432,Korean,Pyongyang,"Korea, DPR",smtwtfs,,EOU b15,100,ND,,Aoki,
6250000,AM,Echo of Unification,2230,30,Korean,KRE,"Korea, DPR",smtwtfs,KOR,,,,N.Korea,EiBi,
6250000,AM,Echo of Unification,2230,32,Korean,Pyongyang,"Korea, DPR",smtwtfs,,EOU b15,100,ND,,Aoki,
6251000,AM,Slot Machine,0,2400,QPSK 1500bd,Ichihara,Japan,smtwtfs,,QPSK,,,,Aoki,
6260000,AM,Bible Voice,1400,1430,English,Tashkent,Uzbekistan,.....f.,SAs,/UZB,,,UK,EiBi,
6260000,AM,BIBLE VOICE BCN Time of Reason,1400,1430,English,Tashkent,Uzbekistan,.....f.,,BVBN b15,100,122,,Aoki,
6280000,AM,R.Pakistan,1700,1800,Farsi,Islamabad,Pakistan,smtwtfs,40,,100,260,Pakistan,HFCC,
6295000,AM,ReflectionsEurope,1400,2230,English,?,Ireland,s......,,//12255,0.2,ND,,Aoki,
6304000,USB,E11 Polish Spy Numbers,2000,2010,English,"Puchaly, in Falenty",Poland,.....f.,   ,p,,,Poland,EiBi,
6305000,AM,R.Alice,0,2400,English,?,Netherlands,smtwtfs,,,,,,Aoki,
6314000,USB,NMF NAVTEX Boston MA,140,200,?,"Boston, MA",USA,smtwtfs,ENA,bo,,,USA,EiBi,
6317000,USB,WLO Mobile Radio,0,2400,CW,"Mobile, AL (WLO)",USA,smtwtfs,Car,mo,,,USA,EiBi,
6318000,USB,KLB Seattle Radio,0,2400,CW,"Seattle, WA",USA,smtwtfs,WNA,se,,,USA,EiBi,
6320000,USB,S06 Russian Spy Numbers,710,720,Russian,Unknown site(s),Russia,..t....,RUS,xx,,,Russian Fed.,EiBi,
6340500,FAX,NMF Fax Boston MA,230,500,?,"Boston, MA",USA,smtwtfs,ENA,bo,,,USA,EiBi,
6340500,FAX,NMF Fax Boston MA,745,1045,?,"Boston, MA",USA,smtwtfs,ENA,bo,,,USA,EiBi,
6340500,FAX,NMF Fax Boston MA,1400,1600,?,"Boston, MA",USA,smtwtfs,ENA,bo,,,USA,EiBi,
6340500,FAX,NMF Fax Boston MA,1720,2245,?,"Boston, MA",USA,smtwtfs,ENA,bo,,,USA,EiBi,
6348000,AM,N.Korean Jamming,255,2400,Noise jamming,Kujang,"Korea, DPR",smtwtfs,,NKJamming//6250,250,,,Aoki,
6348000,AM,Echo of Hope VOH,455,2300,Korean,"Goyang,Gyeonggi-do","Korea, Rep.",smtwtfs,KRE,/KOR-g,,,Clandestine,EiBi,
6348000,AM,Echo of Hope-VOH,555,2400,Korean,Hwaseong,"Korea, Rep.",smtwtfs,,EOH b15//3985/6003/6250,100,ND,,Aoki,
6351000,USB,"WHL St Augustine, FL",0,2400,CW,,USA,smtwtfs,Car,,,,USA,EiBi,
6370000,AM,CNR1 Jammer,0,2400,Mandarin,,China,smtwtfs,CHN,,,,China,EiBi,
6370000,AM,SOH Xi Wang Zhi Sheng,700,100,Chinese,?,Taiwan,smtwtfs,,SOH b15,0.1,ND,,Aoki,
6370000,AM,Sound of Hope,1100,1400,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6370000,AM,Sound of Hope,1400,1500,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6370000,AM,SOH Xi Wang Zhi Sheng,1500,1600,Cantonese,?,Taiwan,smtwtfs,,SOH b15,0.1,ND,,Aoki,
6370000,AM,Sound of Hope,1500,1600,Cantonese, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6370000,AM,Sound of Hope,1600,1700,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6370000,AM,Sound of Hope,1700,1800,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6370000,AM,Sound of Hope,1800,2030,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6370000,AM,Sound of Hope,2030,2130,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6370000,AM,Sound of Hope,2130,2300,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6370000,AM,Sound of Hope,2300,1100,Mandarin, ,Taiwan,smtwtfs,FE,,,,Taiwan,EiBi,
6400000,AM,PBS Pyongyang Pansong,2100,1900,Korean,Kanggye,"Korea, DPR",smtwtfs,FE ,k,,,N.Korea,EiBi,
6418000,AM,Slot Machine,0,2400,QPSK 1500bd,Ichihara,Japan,smtwtfs,,QPSK,,,,Aoki,
6420000,USB,S06 Russian Spy Numbers,1240,1250,Russian,Unknown site(s),Russia,...w...,RUS,xx,,,Russian Fed.,EiBi,
6433000,USB,S11 Polish Spy Numbers,1020,1030,Russian,"Puchaly, in Falenty",Poland,...w..s,   ,p,,,Poland,EiBi,
6440000,USB,S06 Russian Spy Numbers,1000,1010,Russian,Unknown site(s),Russia,..t....,RUS,xx,,,Russian Fed.,EiBi,
6445500,FAX,RBW Murmansk Meteo Fax,700,715,?,Murmansk Meteo,Russ - Eur,smtwtfs,NEu,mm,,,Russian Fed.,EiBi,
6445500,FAX,RBW Murmansk Meteo Fax,800,815,?,Murmansk Meteo,Russ - Eur,smtwtfs,NEu,mm,,,Russian Fed.,EiBi,
6445500,FAX,RBW Murmansk Meteo Fax,1400,1500,?,Murmansk Meteo,Russ - Eur,smtwtfs,NEu,mm,,,Russian Fed.,EiBi,
6445500,FAX,RBW Murmansk Meteo Fax,1850,1900,?,Murmansk Meteo,Russ - Eur,smtwtfs,NEu,mm,,,Russian Fed.,EiBi,
6445500,FAX,RBW Murmansk Meteo Fax,2000,2015,?,Murmansk Meteo,Russ - Eur,smtwtfs,NEu,mm,,,Russian Fed.,EiBi,
6446000,AM,Slot Machine,0,2400,QPSK 1500bd,Ichihara,Japan,smtwtfs,,QPSK,,,,Aoki,
6448000,USB,PWZ33 Rio d.J.Naval Wx,230,245,Portuguese,Rio de Janeiro PWZ,Brazil,smtwtfs,B  ,rw,,,Brazil,EiBi,
6448000,USB,PWZ33 Rio d.J.Naval Wx,400,415,Portuguese,Rio de Janeiro PWZ,Brazil,smtwtfs,B  ,rw,,,Brazil,EiBi,
6448000,USB,PWZ33 Rio d.J.Naval Wx,600,615,Portuguese,Rio de Janeiro PWZ,Brazil,smtwtfs,B  ,rw,,,Brazil,EiBi,
6448000,USB,PWZ33 Rio d.J.Naval Wx,1430,1445,Portuguese,Rio de Janeiro PWZ,Brazil,smtwtfs,B  ,rw,,,Brazil,EiBi,
6448000,USB,PWZ33 Rio d.J.Naval Wx,1845,1900,Portuguese,Rio de Janeiro PWZ,Brazil,smtwtfs,B  ,rw,,,Brazil,EiBi,
6448000,USB,PWZ33 Rio d.J.Naval Wx,2130,2145,Portuguese,Rio de Janeiro PWZ,Brazil,smtwtfs,B  ,rw,,,Brazil,EiBi,
6450000,USB,Armenian Military Net,0,2400,Armenian,Gavar (Kamo),Armenia,smtwtfs,Cau,,,,Armenia,EiBi,
6496400,FAX,CFH Halifax Meteo Fax,1,2321,?,Halifax NS,Canada,smtwtfs,ENA,hx,,,Canada,EiBi,
6501000,USB,NOJ USCG Kodiak,203,300,English,Kodiak,Alaska,smtwtfs,WNA,k,,,Alaska,EiBi,
6501000,USB,NMN USCG Chesapeake,330,425,English,"Chesapeake, VA",USA,smtwtfs,NAm,ch,,,USA,EiBi,
6501000,USB,NMN USCG Chesapeake,515,550,English,"Chesapeake, VA",USA,smtwtfs,NAm,ch,,,USA,EiBi,
6501000,USB,NMO USCG Honolulu,600,635,English,Honolulu/Maili,Hawaii,smtwtfs,Oc ,nm,,,Hawaii,EiBi,
6501000,USB,NMN USCG Chesapeake,930,1005,English,"Chesapeake, VA",USA,smtwtfs,NAm,ch,,,USA,EiBi,
6501000,AM,NRV USCG,930,1015,English,GUM,Guam,smtwtfs,WOc,,,,Guam,EiBi,
6501000,USB,NMN USCG Chesapeake,1115,1150,English,"Chesapeake, VA",USA,smtwtfs,NAm,ch,,,USA,EiBi,
6501000,USB,NMO USCG Honolulu,1200,1235,English,Honolulu/Maili,Hawaii,smtwtfs,Oc ,nm,,,Hawaii,EiBi,
6501000,USB,NMN USCG Chesapeake,1530,1605,English,"Chesapeake, VA",USA,smtwtfs,NAm,ch,,,USA,EiBi,
6501000,AM,NRV USCG,1530,1615,English,GUM,Guam,smtwtfs,WOc,,,,Guam,EiBi,
6501000,USB,NOJ USCG Kodiak,1645,1745,English,Kodiak,Alaska,smtwtfs,WNA,k,,,Alaska,EiBi,
6501000,USB,NMN USCG Chesapeake,2130,2205,English,"Chesapeake, VA",USA,smtwtfs,NAm,ch,,,USA,EiBi,
6501000,USB,NMN USCG Chesapeake,2315,2350,English,"Chesapeake, VA",USA,smtwtfs,NAm,ch,,,USA,EiBi,
6507000,USB,VMC Charleville QL,800,2100,English,Charleville QL,Australia,smtwtfs,AUS,c,,,Australia,EiBi,
6510000,USB,TAH Turk Radio Istanbul,0,2400,English,Istanbul TAH,Tunisia,smtwtfs,ME ,is,,,Turkey,EiBi,
6510000,AM,XSQ Guangzhou R.,100,105,Mandarin,Guangzhou XSQ,China,smtwtfs,FE ,gx,,,China,EiBi,
6510000,AM,XSQ Guangzhou R.,200,205,Mandarin,Guangzhou XSQ,China,smtwtfs,FE ,gx,,,China,EiBi,
6510000,AM,XSQ Guangzhou R.,300,305,Mandarin,Guangzhou XSQ,China,smtwtfs,FE ,gx,,,China,EiBi,
6510000,AM,XSQ Guangzhou R.,400,405,Mandarin,Guangzhou XSQ,China,smtwtfs,FE ,gx,,,China,EiBi,
6510000,AM,XSQ Guangzhou R.,500,505,Mandarin,Guangzhou XSQ,China,smtwtfs,FE ,gx,,,China,EiBi,
6510000,AM,XSQ Guangzhou R.,600,605,Mandarin,Guangzhou XSQ,China,smtwtfs,FE ,gx,,,China,EiBi,
6510000,AM,XSQ Guangzhou R.,700,705,Mandarin,Guangzhou XSQ,China,smtwtfs,FE ,gx,,,China,EiBi,
6510000,AM,XSQ Guangzhou R.,900,905,Mandarin,Guangzhou XSQ,China,smtwtfs,FE ,gx,,,China,EiBi,
6510000,AM,XSQ Guangzhou R.,1100,1105,Mandarin,Guangzhou XSQ,China,smtwtfs,FE ,gx,,,China,EiBi,
