Frequency,M,Station,On,Off,Language,Site,TX_Country,Days,Target,Notes,Pwr,Azi,Org_Country,Source,Date
9860000,AM,IBB,1700,2000,Mandarin,Saipan,No.Mariana Is,smtwtfs,"43,44",,100,300,USA,HFCC,
9860000,AM,R.Free Asia,1700,2000,Mandarin,"Agingan Pt, Saipan",No.Mariana Is,smtwtfs,FE ,/MRA-s,,,USA,EiBi,
9860000,AM,R.Free Asia,1700,2000,Chinese,Agingan Point,No.Mariana Is,smtwtfs,,RFA1/IBB b15,100,300,,Aoki,
9860000,AM,V.Russia,1800,2000,Russian,Moskva,Russ - Eur,smtwtfs,"27,28,37NW",,200,270,Russia,HFCC,
9860000,AM,IBB,2100,2200,Korean,Tinian,No.Mariana Is,smtwtfs,44NE,,250,329,USA,HFCC,
9860000,AM,R.Free Asia,2100,2200,Korean,Tinian,No.Mariana Is,smtwtfs,FE ,/MRA-t,,,USA,EiBi,
9860000,AM,R.Free Asia,2100,2200,Korean,Tinian,No.Mariana Is,smtwtfs,,RFA2/IBB b15,250,329,,Aoki,
9860000,AM,China Radio Intl,2200,2257,Esperanto,Kashi-Saibagh 2022,China,smtwtfs,,CRI b15,500,269,,Aoki,
9860000,AM,China Radio Intl,2200,2300,Esperanto,Kashi (Kashgar),China,smtwtfs,SAm,ka,,,China,EiBi,
9860000,AM,CRI,2200,2300,Esperanto,Kashi,China,smtwtfs,12-14,,500,269,China,HFCC,
9865000,AM,China Radio Intl,2000,2100,Mandarin,Kunming-Anning (Yunnan),China,smtwtfs,ME ,k,,,China,EiBi,
9865000,AM,China Radio Intl,2000,2100,Chinese,Kunming,China,smtwtfs,,CRI b15,500,283,,Aoki,
9865000,AM,CRI,2000,2100,Chinese,Kunming,China,smtwtfs,"38-40,46,47",,500,283,China,HFCC,
9870000,AM,AIR,10,435,Hindi,Bangalore,India,smtwtfs,41N,,500,35 ,India,HFCC,
9870000,AM,AIR (Vividh Bharati),15,435,Hindi,Bengaluru,India,smtwtfs,,AIR b15,500,174,,Aoki,
9870000,AM,AIR Vividh Bharati,25,100,Hindi,Bengaluru,India,smtwtfs,SAs,b,,,India,EiBi,
9870000,DRM,All India Radio,25,435,Vividh Bharati,Bengaluru,India,smtwtfs,0,Vividh Bharati,500,0,India,VU2JOS,
9870000,AM,AIR Vividh Bharati,100,435,Hindi,Bengaluru,India,smtwtfs,SAs,b,,,India,EiBi,
9870000,AM,BBC,600,629,French,Ascension,Ascension Is,smtwtfs,CAf,0,250,70,UK,BAB,
9870000,AM,BBC,600,629,French,Ascension,Ascension Is,smtwtfs,CAf,/ASC,,,UK,EiBi,
9870000,AM,BBC,600,629,French,Ascension,Ascension Is,smtwtfs,"47S,52N,52SE",FRENA_C,250,70 ,UK,HFCC,
9870000,AM,BBC,600,629,French,Woofferton,England,smtwtfs,,BBC b15 Dec.15,250,170,,Aoki,
